Name,Description,Link,Cost,Amount,Price,Total
Buzzer,Playsound,https://www.aliexpress.us/item/3256806074013807.html?spm=a2g0o.productlist.main.13.5a383b6axf8XLy&algo_pvid=6cd08e77-84ab-4dc2-ad33-df94532bc46e&algo_exp_id=6cd08e77-84ab-4dc2-ad33-df94532bc46e-12&pdp_ext_f=%7B%22order%22%3A%221046%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.18%210.98%21%21%211.18%210.98%21%40210337c117809626047423382e16fc%2112000036509108003%21sea%21US%212803737097%21ACX%211%210%21n_tag%3A-29919%3Bd%3A876f5bbc%3Bm03_new_user%3A-29894&curPageLogUid=D74mWIDIXteV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006260328559%7C_p_origin_prod%3A,0.95,1,0.95,32.32
OLED Screen,Display the timer and pet status,https://www.aliexpress.us/item/3256808873087768.html?spm=a2g0o.productlist.main.1.1832F07YF07Yfr&algo_pvid=5a49a2b0-ddcd-413d-ade3-ed537c16c3e9&algo_exp_id=5a49a2b0-ddcd-413d-ade3-ed537c16c3e9-0&pdp_ext_f=%7B%22order%22%3A%221249%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.49%210.99%21%21%2110.03%216.65%21%402101dedf17809628814748484ed4ba%2112000047762448536%21sea%21US%212803737097%21ACX%211%210%21n_tag%3A-29919%3Bd%3A876f5bbc%3Bm03_new_user%3A-29894%3BpisId%3A5000000207271067&curPageLogUid=fpQSw2OR1A79&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009059402520%7C_p_origin_prod%3A,0.99,1,0.99,
Button,"Button to control the watch, 4*4*2.5",https://www.aliexpress.us/item/3256801545221648.html?spm=a2g0o.productlist.main.1.313eJRgrJRgrVf&algo_pvid=203305ca-134d-407c-bfae-652491ecfeac&algo_exp_id=203305ca-134d-407c-bfae-652491ecfeac-0&pdp_ext_f=%7B%22order%22%3A%2298%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.09%210.99%21%21%213.09%210.99%21%402101e2b217809701525396938eb52c%2112000017379463986%21sea%21US%212803737097%21ACX%211%210%21n_tag%3A-29919%3Bd%3A876f5bbc%3Bm03_new_user%3A-29894%3BpisId%3A5000000208023469&curPageLogUid=6XJ7cagEYMcl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001731536400%7C_p_origin_prod%3A,3.69,1,3.69,
Rubber O-ring,Add grips to the wheels ,https://www.aliexpress.us/item/3256808533202321.html?spm=a2g0o.productlist.main.1.326f2c84qaQgXY&algo_pvid=d4e1879d-b6b4-4817-8f69-dfb6d13affbd&algo_exp_id=d4e1879d-b6b4-4817-8f69-dfb6d13affbd-0&pdp_ext_f=%7B%22order%22%3A%226897%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.38%210.99%21%21%2129.56%216.70%21%402103123917809630540136072e52bf%2112000046380794147%21sea%21US%212803737097%21ACX%211%210%21n_tag%3A-29919%3Bd%3A876f5bbc%3Bm03_new_user%3A-29894%3BpisId%3A5000000207271067&curPageLogUid=z8sGa4KTqiAh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008719517073%7C_p_origin_prod%3A,0.99,1,0.99,
Battery,3.7v,https://www.aliexpress.us/item/3256802733222186.html?spm=a2g0o.productlist.main.2.556d1341qXduVv&algo_pvid=382861aa-760c-491d-abf8-e0e13d1321bf&algo_exp_id=382861aa-760c-491d-abf8-e0e13d1321bf-1&pdp_ext_f=%7B%22order%22%3A%221332%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.94%210.99%21%21%2112.94%210.99%21%402101c59117809705896301382e4902%2112000028368881594%21sea%21US%212803737097%21ACX%211%210%21n_tag%3A-29919%3Bd%3A876f5bbc%3Bm03_new_user%3A-29894%3BpisId%3A5000000207271037&curPageLogUid=jtczM7dNZdCN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002919536938%7C_p_origin_prod%3A,7.89,1,7.89,
PCB,Custom PCB from JLCPCB,https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=35&stencilLength=83&stencilCounts=5&plateType=1&spm=Jlcpcb.Homepage.1010,2,1,2,
Motor,N20 Gear Motor 3.6V,https://www.aliexpress.us/item/3256806897423205.html?spm=a2g0o.productlist.main.39.60401309oqgpnY&algo_pvid=6372d610-e822-4efb-8e56-fc237abcf7bf&algo_exp_id=6372d610-e822-4efb-8e56-fc237abcf7bf-36&pdp_ext_f=%7B%22order%22%3A%22158%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.45%210.99%21%21%2143.52%216.64%21%40210325a917809723175866820e1a28%2112000050062309465%21sea%21US%212803737097%21ACX%211%210%21n_tag%3A-29919%3Bd%3A876f5bbc%3Bm03_new_user%3A-29894%3BpisId%3A5000000207271067&curPageLogUid=CbjxVEBztWhg&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007083737957%7C_p_origin_prod%3A,6.45,1,6.45,
M3 x 5mm Bolt,Secure the PCB on to the case,https://www.aliexpress.us/item/2255800885711092.html?spm=a2g0o.productlist.main.1.4c0b4114ivHza6&algo_pvid=6a5fa981-ec9e-4962-b1a2-902655b0c430&algo_exp_id=6a5fa981-ec9e-4962-b1a2-902655b0c430-0&pdp_ext_f=%7B%22order%22%3A%2234843%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.08%210.99%21%21%212.08%210.99%21%402101e62517812104052277128e3df3%2110000014059762482%21sea%21US%212803737097%21ACX%211%210%21n_tag%3A-29919%3Bd%3A876f5bbc%3Bm03_new_user%3A-29894%3BpisId%3A5000000207271067&curPageLogUid=Trywy83H6MFZ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4001072025844%7C_p_origin_prod%3A,1.54,1,1.54,
XIAO ESP32-C6,Microcontroller,https://www.seeedstudio.com/Seeed-Studio-XIAO-ESP32C6-p-5884.html,4.64,1,4.64,
L293D,Motor Controller,https://www.aliexpress.us/item/3256808256807059.html?spm=a2g0o.productlist.main.2.65477c048vLWn6&algo_pvid=701f3415-1a20-4763-b503-3b05d121f9d3&algo_exp_id=701f3415-1a20-4763-b503-3b05d121f9d3-0&pdp_ext_f=%7B%22order%22%3A%22186%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.18%210.99%21%21%2121.47%216.70%21%40210311cc17812113414185044eb7dc%2112000045158274159%21sea%21US%212803737097%21ACX%211%210%21n_tag%3A-29919%3Bd%3A876f5bbc%3Bm03_new_user%3A-29894%3BpisId%3A5000000207271037&curPageLogUid=QxiNZqzTo94H&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008443121811%7C_p_origin_prod%3A,3.18,1,3.18,
